case,constraint_row_local,classification,coefficient_count,support_node_count,side_a_node_count,side_b_node_count,coefficient_l1,coefficient_l2,coefficient_max_abs,support_x_span_m,support_y_span_m
historical,129,Stycast_to_substrate,19,19,6,13,2.0267350997318302e-10,7.523708808459311e-11,5.066837749329568e-11,3.640141183232e-05,3.341499154399996e-05
historical,130,Stycast_to_substrate,16,16,5,11,1.5965718573250464e-10,6.056714699341991e-11,3.992431669938396e-11,3.504453483700002e-05,3.0278045034999937e-05
historical,131,Stycast_to_substrate,16,16,6,10,1.4970084983576833e-10,5.85095183187611e-11,3.7425212458942056e-11,2.709927499499999e-05,3.371876702400005e-05
historical,132,Stycast_to_substrate,24,24,8,16,3.2444622844959016e-10,1.2019714316251663e-10,8.101101700473911e-11,4.5204399528799987e-05,3.8575868874999946e-05
historical,133,Stycast_to_substrate,18,18,6,12,1.5195230584198397e-10,5.7805410571097164e-11,3.7988076460496007e-11,3.42877429635e-05,3.2666736054000074e-05
historical,134,Stycast_to_substrate,27,27,9,18,3.671524764696159e-10,1.235865564278112e-10,9.178839464832799e-11,4.2787917087300004e-05,3.902246827500004e-05
historical,135,Stycast_to_substrate,15,15,5,10,1.1059791733575954e-10,4.45736939378384e-11,2.805547310277127e-11,2.65289699006e-05,3.3995891238000056e-05
historical,136,Stycast_to_substrate,22,22,8,14,2.8545568119927406e-10,1.0217215651988855e-10,7.136392029981853e-11,3.45086412246e-05,4.143160078000005e-05
historical,137,Stycast_to_substrate,17,17,6,11,1.870606707069881e-10,7.061713984167394e-11,4.677706703333014e-11,2.9218876169e-05,3.8575868874999946e-05
historical,138,Stycast_to_substrate,17,17,7,10,2.2730813021092695e-10,8.671868622524702e-11,5.682703255273165e-11,3.282337008541e-05,2.926199806399998e-05
historical,139,Stycast_to_substrate,22,22,8,14,2.649466545566763e-10,9.582100478823551e-11,6.623666363916905e-11,3.327647863861e-05,4.1585110178999946e-05
historical,140,Stycast_to_substrate,16,16,6,10,1.5636152051270026e-10,5.89198952519618e-11,3.90903801281751e-11,2.8243613301400002e-05,3.3094452516000046e-05
historical,141,Stycast_to_substrate,19,19,7,12,2.586953054715442e-10,9.486160860248684e-11,6.467382636788602e-11,3.1041649854e-05,3.247052286800003e-05
historical,142,Stycast_to_substrate,15,15,5,10,9.504873814622381e-11,3.922858258914277e-11,2.65755398332388e-11,4.009689930900001e-05,2.8533593788000072e-05
historical,143,Stycast_to_substrate,19,19,6,13,1.7276294169885276e-10,6.473864436556258e-11,4.3190735424713125e-11,3.1688890423600005e-05,3.668960487300001e-05
historical,144,Stycast_to_substrate,16,16,6,10,1.628425457230236e-10,6.453294502119886e-11,4.2116567802787096e-11,3.35068111052e-05,3.446720383099998e-05
historical,145,Stycast_to_substrate,17,17,6,11,1.7911463419745377e-10,6.749630305063731e-11,4.468831611370035e-11,2.95041019029e-05,3.266058871500004e-05
historical,146,Stycast_to_substrate,23,23,9,14,3.7457688063758743e-10,1.2987878343132857e-10,9.364422015939674e-11,3.63389497791e-05,3.905207979999997e-05
historical,147,Stycast_to_substrate,17,17,6,11,1.3406518659533392e-10,5.2169409381021763e-11,3.3516296648833505e-11,3.9399380985e-05,2.2026620928000066e-05
historical,148,Stycast_to_substrate,21,21,7,14,2.537934460791679e-10,9.325344254207641e-11,6.326695570430244e-11,3.3805681865999975e-05,3.711958846499999e-05
historical,149,Stycast_to_substrate,23,23,9,14,3.159753526435695e-10,1.1101187599887196e-10,7.899387223411051e-11,3.3054977759599996e-05,4.191111160200005e-05
historical,150,Stycast_to_substrate,23,23,7,16,2.545323291910765e-10,8.946616027189169e-11,6.363308229776907e-11,3.6849611560900004e-05,3.532810478299993e-05
historical,151,Stycast_to_substrate,17,17,6,11,1.565346227834307e-10,5.994641363001888e-11,3.9133710379605734e-11,3.3870543006e-05,3.1863800446999945e-05
historical,152,Stycast_to_substrate,22,22,7,15,2.58651418602274e-10,9.47447378991921e-11,6.466285465056843e-11,4.1479337466219994e-05,3.423151551000005e-05
historical,153,Stycast_to_substrate,24,24,7,17,2.844518200596766e-10,9.884444043698923e-11,7.111295501491911e-11,3.83010474584e-05,3.532810478299993e-05
historical,154,Stycast_to_substrate,17,17,7,10,2.037983448757337e-10,7.804387573156236e-11,5.094958621893336e-11,3.24775572515e-05,3.446720383099998e-05
historical,155,Stycast_to_substrate,17,17,7,10,2.3548393335716244e-10,9.495595194426514e-11,6.74660441473196e-11,3.794449125299999e-05,2.862609261599996e-05
historical,156,Stycast_to_substrate,19,19,7,12,2.0745161560778789e-10,7.764726882670631e-11,5.1862903901946926e-11,3.26675727027e-05,3.224279293399996e-05
historical,157,Stycast_to_substrate,19,19,7,12,2.4720033665071783e-10,9.089752047436091e-11,6.18000841626794e-11,3.429484209459999e-05,3.2798747815000035e-05
historical,158,Stycast_to_substrate,16,16,5,11,1.404900283051758e-10,5.513020810661784e-11,3.512250707629396e-11,3.333088639000001e-05,3.168195660299992e-05
historical,159,Stycast_to_substrate,18,18,6,12,1.8171492137717055e-10,6.878883707495936e-11,4.542873034429253e-11,3.3579538055319996e-05,3.242412240700009e-05
