time_ms,COMSOL_current_A,Elmer_current_A
20.020000584045373,-9.746735975376974e-14,-8.043478965205301e-09
20.020000618721653,-9.746735985964885e-14,-8.04347974009187e-09
20.020000653397933,-9.746735991258841e-14,-8.043480514978437e-09
20.020000688074212,-9.74673599390582e-14,-8.043481289865005e-09
20.020000722750492,-9.746736007140709e-14,-8.043482064751572e-09
20.02000075742677,-9.746736012434665e-14,-8.04348283963814e-09
20.020000792103048,-9.746736023022577e-14,-8.04348361452463e-09
20.020000826779327,-9.746736030963511e-14,-8.043484389411197e-09
20.020000861455607,-9.746736038904445e-14,-8.043485164297765e-09
20.020000896131886,-9.7467360441984e-14,-8.043485939184334e-09
20.020000930808166,-9.746736046845379e-14,-8.0434867140709e-09
20.020000948146304,-9.746736052139335e-14,-8.043487101514145e-09
20.020000982822584,-9.746736062727246e-14,-8.043487876400714e-09
20.020000991491653,-9.746736060080268e-14,-8.043488070122335e-09
20.020000995826187,-9.746736062727246e-14,-8.043488166983147e-09
20.020000997993453,-9.746736065374224e-14,-8.043488215413513e-09
20.02000099930472,-9.746736065374224e-14,-8.043488244715491e-09
20.02000100021992,-9.746736065374224e-14,-8.043488265166834e-09
20.0200010010112,-9.746736065374224e-14,-8.043488282848972e-09
20.02000100180248,-9.746736065374224e-14,-8.043488300531192e-09
20.020001002593762,-9.746736060080268e-14,-8.04348831821341e-09
20.02000100338504,-9.746736060080268e-14,-8.04348833589555e-09
20.0200010049676,-9.746736060080268e-14,-8.043488371259909e-09
20.02000100655016,-9.746736060080268e-14,-8.043488406624267e-09
20.020001008132724,-9.746736065374224e-14,-8.043488441988705e-09
20.020001011297847,-9.746736065374224e-14,-8.0434885127175e-09
20.02000101446297,-9.746736068021202e-14,-8.043488583446296e-09
20.02000102079322,-9.746736065374224e-14,-8.043488724903968e-09
20.02000102712347,-9.746736068021202e-14,-8.04348886636164e-09
20.020001033453717,-9.746736068021202e-14,-8.043489007819232e-09
20.020001039783967,-9.746736075962136e-14,-8.043489149276904e-09
20.020001046114213,-9.746736075962136e-14,-8.043489290734495e-09
20.020001052444464,-9.746736081256092e-14,-8.043489432192167e-09
20.020001058774714,-9.746736078609114e-14,-8.04348957364984e-09
20.020001071435207,-9.746736086550048e-14,-8.043489856565024e-09
20.02000108282965,-9.746736086550048e-14,-8.043490111188705e-09
20.020001094224096,-9.746736086550048e-14,-8.043490365812387e-09
20.02000110561854,-9.746736086550048e-14,-8.043490620436068e-09
20.020001117012985,-9.746736091844004e-14,-8.04349087505975e-09
20.02000112840743,-9.746736094490982e-14,-8.043491129683433e-09
20.020001139801874,-9.746736091844004e-14,-8.043491384307114e-09
20.020001162590766,-9.746736107725872e-14,-8.043491893554558e-09
20.02000118537966,-9.74673611037285e-14,-8.043492402802001e-09
20.02000120816855,-9.746736118313784e-14,-8.043492912049444e-09
20.020001230957444,-9.746736118313784e-14,-8.043493421296886e-09
20.020001253746337,-9.746736134195651e-14,-8.04349393054433e-09
20.02000127653523,-9.746736134195651e-14,-8.043494439791773e-09
20.020001299324118,-9.746736139489607e-14,-8.043494949039136e-09
20.02000132211301,-9.746736147430541e-14,-8.04349545828658e-09
20.020001344901903,-9.746736158018453e-14,-8.043495967534023e-09
20.020001367690796,-9.746736160665431e-14,-8.043496476781466e-09
20.02000139047969,-9.746736163312409e-14,-8.043496986028909e-09
20.020001436057473,-9.746736168606365e-14,-8.043498004523796e-09
20.02000147707748,-9.746736181841255e-14,-8.043498921169161e-09
20.020001518097487,-9.74673618713521e-14,-8.043499837814606e-09
20.020001559117492,-9.7467362003701e-14,-8.043500754459972e-09
20.0200016001375,-9.746736205664056e-14,-8.043501671105417e-09
20.02000160551614,-9.746736207052368e-14,-8.043501791298079e-09
20.020001641157506,-9.746736216251968e-14,-8.043502913842311e-09
20.020001682177515,-9.746736224192902e-14,-8.043504205789781e-09
20.02000172319752,-9.746736232133836e-14,-8.04350549773714e-09
20.02000176421753,-9.746736237427792e-14,-8.04350678968461e-09
20.020001805237534,-9.746736242721748e-14,-8.04350808163197e-09
