time_ms,COMSOL_L_A,COMSOL_R_A,Elmer_L_A,Elmer_R_A
24.93600100000153,1.0769591760332364e-08,4.030227329865471e-08,-4.450807479265337e-07,-4.4228799292770314e-07
24.94100100000153,1.0759587582901584e-08,4.029235742038196e-08,-4.4504484105693364e-07,-4.422757393895125e-07
24.946001000001534,1.0749583405470804e-08,4.0282441542109214e-08,-4.450131556273172e-07,-4.4227220399447264e-07
24.951001000001533,1.073957922804003e-08,4.0272525663836466e-08,-4.449873356101859e-07,-4.42258296757972e-07
24.956001000001535,1.072957505060925e-08,4.026260978556372e-08,-4.449694225848477e-07,-4.4224668261928475e-07
24.961001000001538,1.0719570873178467e-08,4.025269390729097e-08,-4.449360798937721e-07,-4.422348330056008e-07
24.966001000001537,1.0709566695747693e-08,4.0242778029018224e-08,-4.4491554422905065e-07,-4.4222310406776574e-07
24.97100100000154,1.0699562518316913e-08,4.023286215074548e-08,-4.4488378316275305e-07,-4.422240155910369e-07
24.976001000001542,1.0689558340886133e-08,4.022294627247273e-08,-4.448524069066947e-07,-4.4222474672198585e-07
24.981001000001545,1.0679554163455353e-08,4.021303039419998e-08,-4.448245488813734e-07,-4.4221313835916885e-07
24.986001000001544,1.066954998602458e-08,4.0203114515927235e-08,-4.4478957751217557e-07,-4.422082582616221e-07
24.991001000001546,1.0659545808593796e-08,4.019319863765449e-08,-4.447544344353589e-07,-4.4219274552751266e-07
24.99600100000155,1.0649541631163016e-08,4.018328275938174e-08,-4.4472127897347597e-07,-4.421879833384429e-07
25.0,1.0641540290056979e-08,4.017535203994227e-08,-4.446964523177463e-07,-4.421800724900521e-07
25.001001000001548,1.0639936621733877e-08,4.017374848299256e-08,-4.446902378935319e-07,-4.4217809230519224e-07
25.00600100000155,1.0631926290462034e-08,4.016573870803134e-08,-4.446553628093203e-07,-4.4216893764362566e-07
25.011001000001553,1.062391595919019e-08,4.015772893307012e-08,-4.4462607383860325e-07,-4.421563786571414e-07
25.016001000001555,1.0615905627918347e-08,4.01497191581089e-08,-4.445883677956712e-07,-4.4215773729121255e-07
25.021001000001554,1.060789529664651e-08,4.014170938314769e-08,-4.445617422847931e-07,-4.421611804948612e-07
25.026001000001557,1.0599884965374667e-08,4.013369960818648e-08,-4.4453217396916945e-07,-4.421486580563172e-07
25.03100100000156,1.0591874634102823e-08,4.012568983322526e-08,-4.445087035377334e-07,-4.421450006482006e-07
25.03600100000156,1.0583864302830986e-08,4.011768005826405e-08,-4.444788775844757e-07,-4.421351595095273e-07
25.04100100000156,1.0575853971559143e-08,4.010967028330283e-08,-4.444427690396106e-07,-4.4213516633338735e-07
25.046001000001564,1.05678436402873e-08,4.010166050834162e-08,-4.44412928066087e-07,-4.421329125143213e-07
25.051001000001566,1.0559833309015456e-08,4.00936507333804e-08,-4.443797093714192e-07,-4.421283782281261e-07
25.056001000001565,1.0551822977743618e-08,4.0085640958419186e-08,-4.4434087822196877e-07,-4.4212480779037095e-07
25.061001000001568,1.0543812646471774e-08,4.007763118345797e-08,-4.4431300898651205e-07,-4.4211462786459383e-07
25.06600100000157,1.053580231519993e-08,4.006962140849675e-08,-4.442894936740121e-07,-4.420966138875108e-07
25.07100100000157,1.0527791983928094e-08,4.0061611633535543e-08,-4.4426720382362674e-07,-4.420856248674599e-07
25.076001000001572,1.051978165265625e-08,4.0053601858574325e-08,-4.442515108722667e-07,-4.420783472745707e-07
25.081001000001574,1.0511771321384407e-08,4.0045592083613106e-08,-4.44219646867993e-07,-4.420564875403602e-07
25.086001000001577,1.0503760990112564e-08,4.003758230865189e-08,-4.4419363749950594e-07,-4.4204855768466777e-07
25.091001000001576,1.0495750658840727e-08,4.002957253369068e-08,-4.441699601196792e-07,-4.4203172682057276e-07
25.09600100000158,1.0487740327568884e-08,4.0021562758729463e-08,-4.44142005645874e-07,-4.4202601083188236e-07
25.10100100000158,1.047972999629704e-08,4.0013552983768245e-08,-4.441172971115018e-07,-4.420047587497299e-07
25.10600100000158,1.0471719665025202e-08,4.000554320880703e-08,-4.4410180778084495e-07,-4.419903773898303e-07
25.111001000001583,1.0463709333753358e-08,3.9997533433845814e-08,-4.4408241989409535e-07,-4.4199589785707876e-07
25.116001000001585,1.0455699002481516e-08,3.99895236588846e-08,-4.4405989088277826e-07,-4.4199160206980143e-07
25.121001000001584,1.0447688671209678e-08,3.998151388392339e-08,-4.440337138719155e-07,-4.4198809759794224e-07
25.126001000001587,1.0439678339937835e-08,3.997350410896217e-08,-4.4401048522195495e-07,-4.419909886263691e-07
25.13100100000159,1.0431668008665991e-08,3.996549433400095e-08,-4.439873637122839e-07,-4.419782590078217e-07
25.136001000001592,1.0423657677394148e-08,3.995748455903974e-08,-4.439553207098094e-07,-4.4196244480072724e-07
25.14100100000159,1.0415647346122311e-08,3.994947478407853e-08,-4.4391652902751357e-07,-4.4195369120535806e-07
25.146001000001593,1.0407637014850468e-08,3.994146500911731e-08,-4.438869249106126e-07,-4.4193606973916863e-07
25.151001000001596,1.0399626683578624e-08,3.993345523415609e-08,-4.438502590723597e-07,-4.4192526968842775e-07
25.156001000001595,1.0391616352306786e-08,3.992544545919488e-08,-4.438201452385427e-07,-4.419053928105335e-07
25.161001000001598,1.0383606021034944e-08,3.991743568423367e-08,-4.4380079414703985e-07,-4.4188997330737545e-07
25.1660010000016,1.03755956897631e-08,3.990942590927245e-08,-4.437752480004073e-07,-4.4186812839133553e-07
25.171001000001603,1.0367585358491257e-08,3.990141613431123e-08,-4.4373295666406726e-07,-4.4185379729396444e-07
25.1760010000016,1.0359575027219419e-08,3.989340635935002e-08,-4.4369449842587274e-07,-4.418403349261337e-07
25.181001000001604,1.0351564695947575e-08,3.9885396584388806e-08,-4.436725311975976e-07,-4.418406062215981e-07
25.186001000001607,1.0343554364675732e-08,3.987738680942759e-08,-4.4364632838058186e-07,-4.418410828909477e-07
25.191001000001606,1.0335544033403895e-08,3.9869377034466375e-08,-4.436188578799355e-07,-4.418416127084028e-07
