case,side,parent_element,element_type,face_area_m2,edge_min_m,edge_max_m,element_depth_m,element_volume_m3,element_aspect_ratio,face_node_count,K_ff_trace_W_K,K_fi_fro_W_K,K_ii_trace_W_K,K_condensed_trace_W_K,K_condensed_fro_W_K,condensation
historical,substrate_side,220802,504,4.026828647053368e-11,8.562519290171055e-06,1.1203557111682862e-05,1.7823251824999908e-06,9.569490804340851e-17,1.6866978685025973,3,1.524812114481257e-11,4.269798233372232e-12,5.066394162101714e-12,1.1649668997112774e-11,8.624025542960362e-12,solve
historical,substrate_side,125874,504,5.6880059156078904e-11,1.0930240772692018e-05,1.1887648600632826e-05,1.7823251825000179e-06,1.3517168242129224e-16,1.4953684773338982,3,1.4746777686359267e-11,5.087244174810299e-12,7.15642071979475e-12,1.1130437296734496e-11,7.90858161997961e-12,solve
historical,substrate_side,206927,504,4.138514717021474e-11,8.92684632325395e-06,1.2160680842562654e-05,1.7823251824999908e-06,9.834905331059008e-17,1.6179887492151315,3,1.496713135398685e-11,3.826269574421522e-12,5.2069130921258576e-12,1.2155419578293174e-11,9.295872952428607e-12,solve
historical,substrate_side,144962,504,5.6425572800675984e-11,1.0432557804865577e-05,1.2955162676389016e-05,1.7823251824999908e-06,1.3409162578617592e-16,1.5236800416624545,3,1.412675087072723e-11,4.348190992958509e-12,7.099239070919447e-12,1.1463540810836008e-11,8.370889841889233e-12,solve
historical,substrate_side,165410,504,4.9942310554716204e-11,9.970598290269706e-06,1.121798124318688e-05,1.7823251824999908e-06,1.1868458369854147e-16,1.550110017622301,3,1.4523248342958785e-11,4.570400864651302e-12,6.283541039707187e-12,1.119891833037423e-11,8.00467367190779e-12,solve
historical,substrate_side,81353,504,5.4178523312182107e-11,1.0476911624581908e-05,1.1658831198194015e-05,4.445798606750014e-06,3.21155737942763e-16,1.9285776803242403,3,2.927850825156832e-11,1.963037893519383e-12,2.7327515334802243e-12,2.78683845267504e-11,1.9874283185984235e-11,solve
historical,substrate_side,263027,504,4.985345541208565e-11,9.951625340606822e-06,1.220728712176014e-05,1.7823251825000179e-06,1.1847342535413446e-16,1.4957246210467876,3,1.51554808171752e-11,4.815751124028264e-12,6.272361642336352e-12,1.1458076201337227e-11,8.363404752790098e-12,solve
historical,substrate_side,335091,504,6.390161326554279e-11,1.1433171345933438e-05,1.2706433333693483e-05,4.445798606749987e-06,3.7879160430003804e-16,1.7324278008841423,3,2.9223721738661145e-11,2.108125558766952e-12,3.2231818249650838e-12,2.7844899936830397e-11,1.984133887916787e-11,solve
historical,substrate_side,331742,504,4.774175861320777e-11,8.893416793996036e-06,1.2410656354682564e-05,1.7823251824999908e-06,1.1345511817754143e-16,1.6919402535211203,3,1.880478805552712e-11,6.4378855389033826e-12,6.006676427699925e-12,1.1904737634816855e-11,8.965590163350394e-12,solve
historical,substrate_side,300096,504,4.4740367499955895e-11,8.577849170330252e-06,1.3229304182594076e-05,4.445798606749987e-06,2.6520888466238196e-16,2.7227428068590966,3,3.737896229079581e-11,3.5245572306457885e-12,2.2566932507457514e-12,3.1874224919869416e-11,2.5185442030432978e-11,solve
historical,substrate_side,274100,504,4.86652690842382e-11,9.914281281465657e-06,1.1430896090591219e-05,4.445798606749987e-06,2.8847464732242577e-16,2.034193914179151,3,2.9203905136480186e-11,1.7126641281874371e-12,2.454664331673948e-12,2.800894809973548e-11,2.0070910534391873e-11,solve
historical,substrate_side,180990,504,6.851784180231399e-11,1.2380772781144848e-05,1.2988128447340016e-05,1.7823251824999908e-06,1.628280998597537e-16,1.5640906178753566,3,1.569640757732914e-11,6.295521598388349e-12,8.620639816920686e-12,1.109888430324675e-11,7.864112257604061e-12,solve
historical,substrate_side,54420,504,5.393978517766998e-11,1.1015853722152822e-05,1.1451510278680756e-05,1.7823251824999908e-06,1.281843166144021e-16,1.536995357416593,3,1.6463184137033897e-11,6.0381629392655684e-12,6.786487250435663e-12,1.1090830173091847e-11,7.852741097967346e-12,solve
historical,substrate_side,97102,504,5.152804205547625e-11,9.466815984114918e-06,1.2074913947759082e-05,1.7823251824999908e-06,1.2245296928052543e-16,1.2824984495917775,3,1.3812372693745557e-11,3.838758862878597e-12,6.483051411820731e-12,1.1539358233230822e-11,8.474421352409458e-12,solve
historical,substrate_side,100235,504,6.448927252747631e-11,1.1075130513582783e-05,1.3175514839349994e-05,4.445798606749987e-06,3.8227509060396795e-16,2.339870304048193,3,3.554966446826088e-11,4.890012474624998e-12,3.252823215151352e-12,2.8198443568641386e-11,2.0334514887740312e-11,solve
historical,substrate_side,97336,504,5.451840088237339e-11,1.050693920243613e-05,1.2319323483849003e-05,1.7823251825000179e-06,1.2955935840304524e-16,1.883941107529304,3,2.7126692649948485e-11,1.0424288561939806e-11,6.859286355770131e-12,1.128455013155401e-11,8.12404458966698e-12,solve
historical,substrate_side,53325,504,4.521302615900307e-11,9.575933292780629e-06,1.142126869747027e-05,4.445798606749987e-06,2.6801067827286263e-16,2.6508757811136907,3,3.8279980197315816e-11,4.762581245945234e-12,2.280534038503683e-12,2.83339852061112e-11,2.052206114614234e-11,solve
historical,substrate_side,217599,504,5.3267037545305625e-11,1.0587612954878434e-05,1.230793684669316e-05,1.7823251824999908e-06,1.2658557655222798e-16,1.8047258835346045,3,1.81381435867793e-11,6.761096879496788e-12,6.701844843819368e-12,1.1317270815291833e-11,8.169433733741759e-12,solve
historical,substrate_side,152511,504,5.501860088347998e-11,1.0799903657856124e-05,1.188855284016579e-05,1.7823251824999908e-06,1.3074805048072433e-16,1.6817393365849573,3,1.652939749824872e-11,6.103710716928754e-12,6.922219512048005e-12,1.1147412074193802e-11,7.932453893671445e-12,solve
