case,parent_element,element_type,face_area_m2,edge_min_m,edge_max_m,element_depth_m,element_volume_m3,element_aspect_ratio,face_node_count,K_ff_trace_W_K,K_fi_fro_W_K,K_ii_trace_W_K,K_condensed_trace_W_K,K_condensed_fro_W_K,condensation
mesh_phase24_stycast_density_10um,230821,504,4.330127018966873e-11,9.999999999878799e-06,1.0000000000158279e-05,1.5625000000002074e-07,9.021097956181018e-18,2.294368087506478,3,1.50006660774018e-10,9.623804106185862e-11,6.214459733556878e-11,9.710093333581992e-13,6.866072842130154e-13,solve
mesh_phase24_stycast_density_10um,219319,504,4.330127019047919e-11,1.000000000007776e-05,1.0000000000199487e-05,1.5625000000002074e-07,9.021097956349855e-18,2.5076348195356584,3,1.5476705027536991e-10,9.776294306292225e-11,6.214459733672754e-11,9.710093333582541e-13,6.86607284213042e-13,solve
mesh_phase24_stycast_density_10um,226197,504,4.330127019013977e-11,9.99999999999819e-06,1.0000000000179067e-05,1.5625000000002074e-07,9.021097956279153e-18,3.5427636779001235,3,1.296691277953327e-10,8.943093843716403e-11,6.214459733624543e-11,9.710093333581753e-13,6.866072842130012e-13,solve
mesh_phase24_stycast_density_10um,225808,504,4.3303531149685115e-11,9.999974866079064e-06,1.0000420089028138e-05,1.5625000000002074e-07,9.021568989517724e-18,1.9352898961111928,3,2.587274989619283e-10,1.265662263068962e-10,6.214784219303767e-11,9.710093349554979e-13,6.866072864719103e-13,solve
mesh_phase24_stycast_density_10um,215048,504,4.3301270185049116e-11,9.999999999286635e-06,9.999999999978281e-06,1.5625000000002074e-07,9.021097955218639e-18,1.8741452211793435,3,2.3098485026240615e-10,1.1955800903586198e-10,6.21445973289431e-11,9.710093333581927e-13,6.866072842130115e-13,solve
mesh_phase24_stycast_density_10um,246798,504,4.330127018940553e-11,9.99999999772797e-06,1.0000000001943401e-05,1.5625000000002074e-07,9.021097956126214e-18,2.173340818674726,3,3.566796193133912e-10,1.486787420442801e-10,6.21445973351908e-11,9.710093333582137e-13,6.866072842130291e-13,solve
mesh_phase24_stycast_density_10um,227043,504,4.330127018966884e-11,9.999999999878826e-06,1.0000000000158279e-05,9.103582200001204e-08,5.2559556338140306e-18,2.538400895350852,3,6.237104462663157e-11,8.119296931224261e-11,1.0666233489584379e-10,5.657384501243999e-13,4.000374944609239e-13,solve
mesh_phase24_stycast_density_10um,226622,504,4.330127018966884e-11,9.999999999878826e-06,1.0000000000158279e-05,9.103582200001204e-08,5.2559556338140306e-18,2.16307736310661,3,3.7856973786758824e-10,2.0079539132617477e-10,1.0666233489583792e-10,5.657384501243581e-13,4.0003749446089075e-13,solve
mesh_phase24_stycast_density_10um,246890,504,4.330127018495922e-11,9.999999997379354e-06,1.00000000017786e-05,1.5625000000002074e-07,9.021097955199859e-18,2.9481758233760145,3,7.347542393411462e-11,6.712494059531755e-11,6.214459732880738e-11,9.710093333582137e-13,6.866072842130169e-13,solve
mesh_phase24_stycast_density_10um,248632,504,4.33012702039299e-11,1.000000000036012e-05,1.0000000004208735e-05,1.5625000000002074e-07,9.021097959152124e-18,2.1156139917955725,3,3.16091986048896e-10,1.3993950913314824e-10,6.214459735603153e-11,9.710093333581992e-13,6.866072842129902e-13,solve
mesh_phase24_stycast_density_10um,224830,504,4.3301270193719636e-11,1.0000000000158279e-05,1.0000000000873537e-05,1.5625000000002074e-07,9.021097957024942e-18,1.9986697160285574,3,2.986158263125457e-10,1.3600374002915717e-10,6.214459734137403e-11,9.710093333582533e-13,6.866072842130569e-13,solve
mesh_phase24_stycast_density_10um,266498,504,4.330127020023415e-11,9.999999999464876e-06,1.0000000004150283e-05,1.5625000000002074e-07,9.021097958382105e-18,1.9695975327473574,3,3.2138813727916965e-10,1.4111057154044056e-10,6.214459735073002e-11,9.710093333582218e-13,6.866072842130412e-13,solve
mesh_phase24_stycast_density_10um,264707,504,4.330127018026791e-11,9.999999996107656e-06,1.0000000000591191e-05,1.5625000000002074e-07,9.021097954222545e-18,2.251367905190137,3,8.937476991759227e-11,7.412028132208037e-11,6.214459732207486e-11,9.71009333358238e-13,6.866072842130359e-13,solve
mesh_phase24_stycast_density_10um,266869,504,4.3301270200689486e-11,9.999999999564351e-06,1.0000000004208735e-05,1.5625000000002074e-07,9.021097958476972e-18,2.517319854397584,3,2.0303398311028383e-10,1.1205856569218819e-10,6.214459735138472e-11,9.710093333581867e-13,6.866072842130125e-13,solve
mesh_phase24_stycast_density_10um,215789,504,4.2607065382004306e-11,9.869119878993391e-06,1.000003186251746e-05,1.5624999999999363e-07,8.876471954584292e-18,2.503248864791109,3,7.812718008328273e-11,6.868741138433834e-11,6.114829681016047e-11,9.711392972474493e-13,6.86791068611017e-13,solve
mesh_phase24_stycast_density_10um,223444,504,4.3301270190073805e-11,9.999999999978274e-06,1.0000000000158543e-05,1.5625000000002074e-07,9.021097956265373e-18,2.408224724943692,3,1.1274711000910727e-10,8.334435054818639e-11,6.214459733614631e-11,9.710093333581669e-13,6.866072842129955e-13,solve
mesh_phase24_stycast_density_10um,220411,504,4.363608949849393e-11,9.918865951691993e-06,1.014063667338788e-05,1.5625000000002074e-07,9.090851978852978e-18,2.7391190731756416,3,9.63893299161255e-11,7.730176899690644e-11,6.262511929337474e-11,9.71332194510719e-13,6.87063802975106e-13,solve
mesh_phase24_stycast_density_10um,221254,504,4.35480832508699e-11,9.957378775160757e-06,1.0070603118519552e-05,1.5625000000002074e-07,9.072517343931253e-18,2.0524688148001973,3,3.02458052454248e-11,4.277421967588198e-11,6.249881554298477e-11,9.711085494171275e-13,6.867475897421462e-13,solve
mesh_phase24_stycast_density_10um,234053,504,4.209264285631613e-11,9.779075432093635e-06,1.0000041149770253e-05,7.985125225000141e-08,4.481533656785205e-18,2.868427653084638,3,1.9681863225206575e-10,1.5233802493399094e-10,1.1820809857513333e-10,4.964333458808014e-13,3.511734237926702e-13,solve
mesh_phase24_stycast_density_10um,232044,504,4.326158296668251e-11,9.987304260345056e-06,1.0000009046314949e-05,1.5625000000002074e-07,9.012829784725545e-18,2.0382394387854053,3,1.6102302884624278e-10,9.96857663326622e-11,6.208763950312765e-11,9.71010620786764e-13,6.866091049107125e-13,solve
mesh_phase24_stycast_density_10um,226423,504,4.330127019007418e-11,9.999999999978298e-06,1.0000000000158645e-05,1.5625000000002074e-07,9.0210979562655e-18,1.9174986546427644,3,2.445882779462134e-10,1.2304266358494306e-10,6.214459733614546e-11,9.710093333582121e-13,6.866072842130146e-13,solve
mesh_phase24_stycast_density_10um,239425,504,4.330127019047922e-11,1.0000000000077769e-05,1.0000000000199489e-05,1.5624999999999363e-07,9.021097956349855e-18,3.1232612415369103,3,6.268597983207464e-11,6.192941135915044e-11,6.214459733672949e-11,9.710093333582194e-13,6.866072842130252e-13,solve
mesh_phase24_stycast_density_10um,231507,504,4.3301270190114356e-11,9.999999999988234e-06,1.0000000000162631e-05,1.5625000000002074e-07,9.021097956273833e-18,2.5178211888393633,3,4.132483266215566e-11,5.007766070559229e-11,6.214459733620372e-11,9.710093333582058e-13,6.866072842130149e-13,solve
mesh_phase24_stycast_density_10um,224153,504,4.330127019007438e-11,9.999999999978285e-06,1.0000000000158647e-05,1.5625000000002074e-07,9.0210979562655e-18,2.2839403951803527,3,3.863061553879896e-10,1.5474655889884586e-10,6.214459733615612e-11,9.710093333582767e-13,6.866072842130451e-13,solve
mesh_phase24_stycast_density_10um,215093,504,4.824946480787826e-11,9.843871388150822e-06,1.122506125946033e-05,1.0480225650001283e-07,6.7422037157105995e-18,2.6084353707210277,3,3.2136331331898474e-10,1.819595450130793e-10,1.0323920111246907e-10,6.588167266729453e-13,4.711162660267776e-13,solve
mesh_phase24_stycast_density_10um,219880,504,4.330127019007383e-11,9.999999999978281e-06,1.0000000000158545e-05,1.5625000000002074e-07,9.021097956265373e-18,2.4598767625136815,3,5.506805183156047e-10,1.8482823401081952e-10,6.214459733615696e-11,9.710093333583607e-13,6.866072842131106e-13,solve
mesh_phase24_stycast_density_10um,227531,504,4.330115767727854e-11,9.999936708308985e-06,1.0000070898375342e-05,1.5625000000002074e-07,9.021074516099737e-18,2.4246207174791574,3,4.680177760500793e-10,1.7036536572462287e-10,6.214443586138197e-11,9.710093334966162e-13,6.866072844088193e-13,solve
mesh_phase24_stycast_density_10um,251626,504,4.330127020230968e-11,9.999999999962233e-06,1.0000000004208735e-05,1.5625000000002074e-07,9.02109795881458e-18,5.147167221991284,3,7.352870490332633e-11,6.714959996983322e-11,6.21445973537085e-11,9.710093333582238e-13,6.866072842130272e-13,solve
mesh_phase24_stycast_density_10um,226110,504,4.330127019002283e-11,9.999999999978298e-06,1.0000000000199489e-05,1.5624999999999363e-07,9.021097956254795e-18,2.7545784682647434,3,7.306710692594863e-10,2.1294815425408844e-10,6.214459733608051e-11,9.710093333583801e-13,6.866072842131364e-13,solve
mesh_phase24_stycast_density_10um,264679,504,4.3301270178944846e-11,9.999999995521546e-06,1.0000000000526135e-05,1.5625000000002074e-07,9.02109795394692e-18,2.0027457101092714,3,3.0958356933268715e-10,1.384868342807602e-10,6.214459732017529e-11,9.710093333581818e-13,6.866072842129922e-13,solve
mesh_phase24_stycast_density_10um,255397,504,4.330127017981149e-11,9.999999996049024e-06,1.0000000000491715e-05,1.5625000000002074e-07,9.021097954127422e-18,3.587030051384615,3,7.387446260357511e-11,6.730940310847035e-11,6.214459732141958e-11,9.710093333582234e-13,6.866072842130239e-13,solve
mesh_phase24_stycast_density_10um,263148,504,4.3301270200689486e-11,9.999999999564351e-06,1.0000000004208735e-05,7.649384125001536e-08,4.416373984873303e-18,5.7402325209423966,3,1.5953162506739802e-10,1.4209338047391448e-10,1.269395441185729e-10,4.753678963083109e-13,3.3613586303799017e-13,solve
mesh_phase24_stycast_density_10um,277612,504,4.330127020068951e-11,9.999999999564358e-06,1.0000000004208735e-05,1.5625000000002074e-07,9.021097958477035e-18,2.9711970965491195,3,1.1227813799667764e-10,8.316932543384557e-11,6.214459735138611e-11,9.710093333582396e-13,6.866072842130367e-13,solve
mesh_phase24_stycast_density_10um,261090,504,4.330127020028552e-11,9.999999999464883e-06,1.000000000420891e-05,1.5625000000002074e-07,9.021097958392873e-18,2.2080005493101043,3,1.8388556168815015e-10,1.066168429737554e-10,6.214459735080026e-11,9.710093333581863e-13,6.866072842130085e-13,solve
mesh_phase24_stycast_density_10um,279346,504,4.299537982331685e-11,9.72286432435781e-06,1.0117140829151e-05,1.5625000000002074e-07,8.95737079652438e-18,2.6498732178231648,3,5.38216732040993e-10,1.8207414062892288e-10,6.17055932702678e-11,9.721982989563033e-13,6.882877085631249e-13,solve
mesh_phase24_stycast_density_10um,266624,504,4.330127020028439e-11,9.999999999464869e-06,1.0000000004208735e-05,1.5625000000002074e-07,9.021097958392553e-18,3.2034014665058033,3,1.4886627467872938e-10,9.586913849085046e-11,6.214459735080032e-11,9.71009333358178e-13,6.866072842130058e-13,solve
