% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Jul 13 2026, 23:25
% Table:              プローブテーブル 1 - 
% 時間 (ms)                                         温度 (K), 吸収体                                       温度 (K), StyCast                                   温度 (K), TES                                       アンペアメーターを通る電流 # (µA)                              TES R(T) (mΩ), TES R
27.580000000000002                                0.1690721904754038                                0.1688914261806868                                0.16870874291210824                               138.7466342349804                                 16.197765202605627
27.590000000000003                                0.16907177617930824                               0.16889116554270045                               0.16870863728317084                               138.75025598439737                                16.197240624875413
27.6                                              0.16907136223537925                               0.16889090512608737                               0.1687085317436672                                138.75387470703294                                16.1967165128979
27.61                                             0.1690709486433249                                0.1688906449306667                                0.16870842629352217                               138.75749040537679                                16.1961928662422
27.62                                             0.1690705354028396                                0.1688903849562459                                0.168708320932661                                 138.7611030819151                                 16.195669684477323
27.630000000000003                                0.16907012251363768                               0.1688901252026374                                0.16870821566100758                               138.7647127391337                                 16.195146967173145
27.64                                             0.16906970997540258                               0.16888986566965528                               0.1687081104784859                                138.76831937951596                                16.194624713899863
27.650000000000002                                0.16906929778784546                               0.16888960635711114                               0.16870800538502223                               138.77192300554262                                16.194102924227064
27.660000000000004                                0.16906888595066472                               0.16888934726481797                               0.1687079003805394                                138.7755236196961                                 16.193581597726975
27.67                                             0.16906847446356366                               0.16888908839258862                               0.16870779546496376                               138.7791212244517                                 16.19306073397026
27.68                                             0.16906806332623867                               0.16888882974023336                               0.16870769063822055                               138.782715822284                                  16.192540332528395
27.69                                             0.16906765253840472                               0.16888857130756874                               0.1687075859002331                                138.78630741566676                                16.192020392974065
27.700000000000003                                0.16906724209975468                               0.16888831309440785                               0.16870748125092605                               138.78989600707064                                16.19150091487931
27.71                                             0.16906683200999176                               0.16888805510056312                               0.16870737669022554                               138.79348159896617                                16.19098189781804
27.720000000000002                                0.16906642226881632                               0.16888779732584547                               0.1687072722180583                                138.79706419382018                                16.190463341363028
27.73                                             0.16906601287593628                               0.16888753977007323                               0.16870716783434658                               138.80064379409973                                16.189945245088836
