% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 2 2026, 14:15
% Table:              プローブテーブル 1 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              アンペアメーターを通る電流 # (µA)
20.3265                  0.169489176393027        0.16880747244021993      135.37950624655247
20.327                   0.16948913645746036      0.16880751108898473      135.37819215697795
20.3275                  0.16948909653328256      0.16880754941952553      135.37688888810837
20.328                   0.16948905662042948      0.16880758743393864      135.37559636855093
20.3285                  0.16948901671883745      0.16880762513430697      135.37431452738076
20.329                   0.16948897682844274      0.1688076625226996       135.37304329414707
20.3295                  0.1694889369491831       0.16880769960117295      135.37178259885593
20.33                    0.1694888970809956       0.16880773637176769      135.37053237198066
20.3305                  0.1694888572238173       0.1688077728365132       135.36929254445033
20.331                   0.16948881737758667      0.1688078089974254       135.3680630476545
20.3315                  0.1694887775422426       0.16880784485650507      135.3668438134313
20.332000000000004       0.1694887377177254       0.16880788041574177      135.36563477407051
20.3325                  0.16948869790397356      0.16880791567711104      135.36443586230516
20.333000000000002       0.16948865810092648      0.16880795064257711      135.36324701131517
20.3335                  0.16948861830852494      0.16880798531408678      135.36206815472144
20.334                   0.1694885785267089       0.1688080196935793       135.36089922658397
20.3345                  0.1694885387554199       0.16880805378297878      135.3597401613955
20.335                   0.16948849899459964      0.1688080875841966       135.35859089407765
20.3355                  0.16948845924419054      0.168808121099132        135.35745135998897
20.336                   0.16948841950413363      0.16880815432967017      135.35632149491227
20.3365                  0.169488379774371        0.16880818727768768      135.35520123504983
20.337                   0.16948834005484673      0.16880821994504389      135.35409051702854
20.3375                  0.16948830034550372      0.16880825233359037      135.3529892778938
20.338                   0.16948826064628505      0.16880828444516327      135.35189745510053
20.3385                  0.16948822095713642      0.16880831628158802      135.35081498652212
20.339                   0.1694881812780019       0.16880834784467788      135.34974181044257
20.3395                  0.1694881416088262       0.1688083791362356       135.34867786555074
20.34                    0.16948810194955274      0.16880841015804882      135.3476230909401
20.3405                  0.16948806230012925      0.16880844091189545      135.34657742610182
20.341                   0.16948802266050012      0.16880847139954236      135.3455408109321
20.341500000000003       0.16948798303061244      0.1688085016227437       135.34451318572275
20.342                   0.16948794341041226      0.16880853158324235      135.34349449116098
20.342500000000005       0.16948790379984707      0.16880856128276941      135.34248466831858
