% Model:              0902gakkai715uA.mph
% Version:            COMSOL 6.2.0.415
% Date:               Aug 9 2026, 15:39
% Table:              プローブテーブル 1 - 
% Time (ms)              温度 (K), 吸収体              温度 (K), TES              アンペアメーターを通る電流 # (µA)
23.880000000000003       0.16928304647086911      0.16876245805117143      136.9100674903744
23.89                    0.16928245288531146      0.1687623069576169       136.91521886892164
23.900000000000002       0.1692818598046139       0.1687621559919105       136.92036597170332
23.91                    0.16928126722834838      0.16876200515394726      136.9255088021832
23.920000000000005       0.169280675156084        0.1687618544436158       136.93064736382593
23.93                    0.16928008358739283      0.1687617038608099       136.9357816600921
23.94                    0.16927949252184446      0.1687615534054219       136.94091169443908
23.950000000000003       0.16927890195900955      0.1687614030773435       136.9460374703228
23.96                    0.16927831189846113      0.16876125287646754      136.95115899119645
23.970000000000002       0.16927772233977048      0.16876110280268658      136.95627626050967
23.98                    0.16927713328251032      0.16876095285589351      136.96138928170888
23.990000000000002       0.16927654472625428      0.16876080303598082      136.96649805824015
24                       0.16927595667057366      0.16876065334284082      136.97160259354604
24.010000000000005       0.16927536911504318      0.16876050377636703      136.97670289106514
24.020000000000003       0.16927478205923616      0.16876035433645264      136.98179895423408
24.03                    0.1692741955027275       0.1687602050229897       136.98689078648744
24.040000000000003       0.16927360944509137      0.16876005583587314      136.99197839125625
24.05                    0.16927302388590215      0.16875990677499456      136.9970617719692
24.060000000000002       0.1692724388247375       0.1687597578402478       137.0021409320534
24.07                    0.16927185426116928      0.1687596090315263       137.0072158749326
24.080000000000002       0.1692712701947771       0.16875946034872377      137.01228660402765
24.090000000000003       0.16927068662513572      0.16875931179173384      137.01735312275684
24.100000000000005       0.16927010355182162      0.1687591633604499       137.02241543453496
24.110000000000003       0.169269520974412        0.16875901505476637      137.02747354277565
24.12                    0.16926893889248557      0.16875886687457664      137.03252745088813
24.130000000000003       0.1692683573056196       0.1687587188197749       137.0375771622823
24.14                    0.1692677762133917       0.16875857089025498      137.042622680362
24.150000000000002       0.16926719561538195      0.16875842308591166      137.0476640085302
24.16                    0.1692666155111658       0.16875827540663832      137.0527011501874
24.17                    0.1692660359003267       0.1687581278523303       137.05773410873144
24.18                    0.1692654567824416       0.16875798042288034      137.06276288755512
24.190000000000005       0.1692648781570924       0.1687578331181849       137.06778749005088
24.200000000000003       0.16926430002385787      0.1687576859381377       137.0728079196089
24.21                    0.16926372238231932      0.1687575388826332       137.07782417961516
24.220000000000002       0.16926314523205788      0.1687573919515675       137.0828362734542
24.23                    0.1692625685726555       0.16875724514483356      137.0878442045079
24.240000000000002       0.16926199240369286      0.16875709846232737      137.0928479761559
24.25                    0.16926141672475276      0.16875695190394394      137.0978475917737
24.260000000000005       0.16926084153541865      0.16875680546957814      137.10284305473502
24.270000000000003       0.16926026683527162      0.16875665915912633      137.1078343684113
24.280000000000005       0.16925969262389542      0.1687565129724821       137.1128215361707
24.290000000000003       0.16925911890087425      0.16875636690954138      137.11780456137953
24.3                     0.16925854566579257      0.16875622097020052      137.1227834474018
24.310000000000002       0.1692579729182343       0.16875607515435417      137.12775819759733
24.32                    0.16925740065778214      0.1687559294618985       137.13272881532504
24.330000000000002       0.16925682888402327      0.16875578389273         137.13769530393967
24.340000000000003       0.1692562575965435       0.16875563844674216      137.14265766679472
24.350000000000005       0.16925568679492567      0.16875549312383292      137.14761590724126
24.360000000000003       0.16925511647875807      0.1687553479238984       137.1525700286258
24.370000000000005       0.16925454664762737      0.16875520284683385      137.15752003429367
24.380000000000003       0.16925397730111993      0.16875505789253512      137.1624659275886
24.39                    0.16925340843882197      0.16875491306089946      137.1674077118508
24.400000000000002       0.16925284006032282      0.1687547683518231       137.17234539041723
24.41                    0.16925227216520813      0.16875462376520198      137.1772789666218
24.42                    0.1692517047530664       0.1687544793009333       137.18220844379823
24.43                    0.16925113782348813      0.16875433495891304      137.18713382527505
24.440000000000005       0.16925057137606042      0.16875419073903802      137.19205511437983
24.450000000000003       0.1692500054103735       0.16875404664120555      137.19697231443752
24.46                    0.1692494399260162       0.1687539026653126       137.2018854287707
24.470000000000002       0.1692488749225791       0.16875375881125526      137.20679446069866
24.48                    0.1692483103996518       0.16875361507893194      137.21169941353753
24.490000000000002       0.1692477463568259       0.16875347146823816      137.2166002906024
24.5                     0.1692471827936909       0.1687533279790717       137.2214970952042
24.51                    0.16924661970984034      0.16875318461133118      137.226389830652
24.520000000000003       0.169246057104863        0.1687530413649127       137.2312785002532
24.530000000000005       0.16924549497835448      0.16875289823971382      137.2361631073117
24.540000000000003       0.16924493332990428      0.16875275523563235      137.24104365512937
24.55                    0.16924437215910754      0.168752612352567        137.24592014700463
24.560000000000002       0.16924381146555306      0.16875246959041307      137.2507925862348
24.57                    0.16924325124884024      0.16875232694907114      137.25566097611255
24.580000000000002       0.1692426915085587       0.16875218442843734      137.26052531992906
24.590000000000003       0.16924213224430237      0.16875204202841035      137.2653856209749
24.6                     0.16924157345566873      0.16875189974888843      137.2702418825353
24.61                    0.16924101514224923      0.16875175758976962      137.27509410789426
24.620000000000005       0.16924045730364182      0.16875161555095208      137.27994230033278
24.630000000000003       0.16923989993944136      0.168751473632333        137.28478646312672
